Country,Healthy Life expectancy at birth (years),Proportion of births attended by skilled health personneld (%),Under-five mortality ratee (per 1000 live births),Neonatal mortality ratee (per 1000 live births),Tuberculosis incidenceg (per 100 000 population),Hepatitis B surface antigen (HBsAg) prevalence among children under 5 yearsi (%),Reported number of people requiring interventions against NTDs (Neglected Tropical Diseas)j ,"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70k (%)",Suicide mortality ratek (per 100 000 population),Total alcohol per capita (? 15 years of age) consumptionl (litres of pure alcohol),Road traffic mortality ratek (per 100 000 population),Adolescent birth raten (per 1000 women aged 15–19 years),Adolescent birth raten (per 1000 women aged 10-14 years),UHC: Service coverage indexo,Age-standardized mortality rate attributed to household and ambient air pollutionq  (per 100 000 population) ,Mortality rate attributed to exposure to unsafe WASH servicesr (per 100 000 population),Mortality rate from unintentional poisoningk (per 100 000 population),Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-oldst (%),Density of medical doctorsw (per 10 000 population) ,Density of nursing and midwifery personnelw (per 10 000 population) ,Density of dentistsw (per 10 000 population) ,Density of pharmacistsw (per 10 000 population) ,Average of 13 International Health Regulations core capacity scoresx,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE)z (%),Prevalence of anaemia in women of reproductive age (15–49 years)ab  (%),Proportion of population with primary reliance on clean fuels and technologyag (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areasag (µg/m3),Mortality rate due to homicidek (per 100 000 population),Age-standardized prevalence of hypertension among adults aged 30-79 yearsai (%),Prevalence of obesity among children and adolescents (5–19 years)aj (%),Age-standardized prevalence of obesity among adults (18+ years)aj (%)
Afghanistan,53.9,62,58,35,193,0.39,14367281,35.3,4.1,0.1,15.9,62,0.2,37,211.1,13.9,1,70,2.5,4.5,0.7,0.3,41,3.9,42.6,33,63.6,8.5,40.2,3.1,5.5
Angola,54.8,50,71,27,350,4.57,7698802,22.2,6.1,7.8,26.1,163,10.7,39,118.5,48.8,2,51,2.1,4.1,0.5,0.7,40,5.4,44.5,50,40.3,9.2,38.7,2.4,8.2
Armenia,67.1,100,11,6,23,0.06,70,19.9,3.3,4.7,20,18.9,0,69,54.8,0.2,0.7,91,44,49.5,5.6,0.5,84,5.7,17.3,98,45.5,3.8,47.3,4.8,20.2
Australia,70.9,99,4,2,7,0.13,20401,8.6,12.5,10.4,4.9,8.7,0.1,87,8.4,0.1,0.1,95,41.3,131.4,6.2,9,88,16.2,8.5,100,7.3,1,29.3,12.4,29
Austria,70.9,98,4,2,5,0.16,22,10.4,14.6,11.9,4.9,5.2,0,82,15.3,0.1,0.2,85,52.9,105.6,5.7,7.2,71,15.7,13,100,12.9,0.5,33.8,8.6,20.1
Bahrain,65.9,100,7,3,13,0.03,2,16.1,8.9,1.1,5.2,12.5,0,71,40.1,0.1,0.3,98,9.3,24.9,1,1.6,80,7.2,35.4,100,63.3,0.3,38.7,17.2,29.8
Bangladesh,64.3,59,29,17,218,0.51,56339394,18.9,3.7,0,15.3,74,0.9,51,149,11.9,0.3,98,6.7,4.9,0.7,1.8,67,3,36.7,25,64.1,2.8,28.8,2.6,3.6
Belarus,66.0,100,3,1,26,0.29,7,23.8,21.2,11,7.6,11.7,0,74,60.7,0.1,3.3,97,45.4,110,6.2,3.6,94,11,20.6,100,18.1,2.7,49.2,7.6,24.5
Belize,65.3,95,12,8,23,0.6,2785,16.5,7.1,6.4,22.6,55.4,1,67,68.6,1,0.4,79,10.8,23.4,1.4,6.8,46,12.2,20.5,82,20.7,37.3,38,12.2,24.1
Benin,55.5,78,86,30,55,2.87,5599018,22.6,7.8,2.2,26.8,108,1.8,38,205,59.7,2.6,72,0.6,3,0.1,0.3,39,3.7,55.2,4,38.8,6.2,31.2,2.6,9.6
Bhutan,63.4,96,28,15,165,0.14,229837,18.5,4.6,0.2,16.2,8,0,62,124.5,3.9,0.2,95,5,20.8,0.9,0.7,43,10.4,38.6,80,36.9,2.4,43.4,3.3,6.4
Botswana,53.9,100,45,22,236,0.18,1461240,27,16.1,6.6,26.4,53.3,0.3,54,101.3,11.8,1.8,95,3.8,54.6,0.7,2.2,34,14.3,32.5,65,25,16.9,44.1,6.3,18.9
Brazil,65.4,99,15,9,45,0.03,9629923,15.5,6.9,7.3,16,49.1,2.6,75,29.9,1,0.1,77,23.1,74,6.4,6.8,87,10.5,16.1,96,11.8,32.6,45,10.8,22.1
Burkina Faso,54.9,80,85,26,46,1.66,5815599,23.9,7.5,11,31,123.7,2.6,43,206.2,49.6,3.1,91,0.9,9.3,0.1,0.2,54,9.6,52.5,11,54.2,9.6,30.5,1,5.6
Burundi,55.6,85,54,21,103,1.35,3575616,25,6.2,7.5,35.5,58.2,0.7,44,179.9,65.4,3.2,93,0.7,6.5,0.1,0.1,38,8.5,38.5,1,37.2,6.6,34.2,1.9,5.4
Cambodia,61.5,89,26,13,274,0.19,5194507,22.5,4.8,7.8,19.6,30,0.1,61,149.8,6.5,0.5,92,1.9,10.1,0.9,0.3,57,7,47.1,37,27.2,2.1,25.7,3.2,3.9
Cameroon,54.5,69,72,26,174,1.75,11348320,23.9,9,5.5,30.2,122.2,2.9,44,208.1,45.2,2.6,69,1.3,3.6,0.1,0.1,41,0.6,40.6,22,64.3,6.4,36.8,2.8,11.4
Canada,71.3,98,5,3,6,0.34,0,9.6,11.8,8.8,5.3,6.5,0.1,89,7,0.4,0.3,91,24.4,110.7,6.6,11.1,97,18.6,10.4,100,6.7,1.6,22.1,12.3,29.4
Central African Republic,46.4,40,103,39,540,3.75,4442825,36,12.3,1.7,37.7,184.4,8,32,211.9,82.1,2.8,42,0.7,2.6,0.1,0.1,31,4.8,46.8,1,42.9,21.3,41.3,2.2,7.5
Chad,52.0,39,110,33,144,10.79,6562501,22.7,6.4,1.3,32.4,138.5,3.9,28,280.1,101,3.5,52,0.6,2,0.1,0.1,40,5.2,45.4,7,66.8,9,37.9,1.5,6.1
Chile,70.0,100,7,4,15,0.03,16,10,9,8.9,14.9,22.6,0.6,80,25.3,0.2,0.4,93,28.4,43.5,14,6.1,72,18.1,8.7,100,26.3,3.9,36.1,15.2,28
Colombia,69.0,99,13,7,37,0.15,3237824,9.7,3.9,5.5,15.4,52.6,2.2,78,37,0.8,0.1,88,23.3,14.6,10.5,1.8,69,16.9,21.2,93,19,38.3,31,7,22.3
Congo,56.2,91,45,19,379,2.56,1438750,22.6,6.5,9.2,29.7,111.3,2.5,40,130.7,38.7,1.3,73,1,9.7,0.1,0.3,51,3.5,48.8,35,44.4,10,39.8,2,9.6
Costa Rica,70.0,99,8,6,10,0.02,10590,9.5,8.1,4.1,14.8,33.3,1.3,78,23.3,0.9,0.1,95,33,38,11.5,11.9,67,24.1,13.7,96,18.6,12.6,37.8,12.3,25.7
Côte d'Ivoire,54.8,74,78,33,135,3.44,21966154,21.7,8.9,3,24.1,118.8,5,45,269.1,47.2,2.5,80,1.6,6.6,0.1,0.4,20,5.5,50.9,32,58.5,11.5,37.3,3.4,10.3
Croatia,68.6,100,5,3,7,0.12,0,16.1,16.4,8.7,7.9,8.8,0.1,73,35.5,0.1,0.4,94,34.7,81.2,12.2,7.2,75,12.1,21,100,17.8,1.1,48.4,10.9,24.4
Democratic Republic of the Congo,54.1,85,81,27,319,3.28,54963277,24,6.7,1.1,34.9,109,3.4,39,163.9,59.8,2,57,3.8,11.1,0.1,0.2,43,4.4,42.4,4,43.4,12.8,34.3,2.2,6.7
Denmark,71.0,95,4,3,5,0.68,0,10.8,10.7,10.1,3.7,1.6,0,85,13.2,0.3,0.1,97,42.2,105.4,7.2,5.4,95,16.8,12.2,100,10.1,1.1,35.9,7.2,19.7
